data_hora,Demanda_MW,Vel_viento
2015-10-01 02,1032.749657,29.90138916
2015-10-01 03,960.6118996,17.30425761
2015-10-01 04,938.9118278,8.709460147
2015-10-01 05,943.277163,7.253912026
2015-10-01 06,977.7809295,16.47004978
2015-10-01 07,1045.847097,21.34896666
2015-10-01 08,1177.789032,32.03048662
2015-10-01 09,1247.155912,10.42119664
2015-10-01 10,1263.223399,7.371877439
2015-10-01 11,1266.041682,8.911151869
2015-10-01 12,1276.091584,8.535965337
2015-10-01 13,1254.408318,12.64269582
2015-10-01 14,1233.853383,11.90202717
2015-10-01 15,1201.397708,12.99859364
2015-10-01 16,1129.100803,39.76604472
2015-10-01 17,1130.726487,37.41928905
2015-10-01 18,1169.572481,8.748294351
2015-10-01 19,1229.998334,54.36690334
2015-10-01 20,1423.429381,23.44256558
2015-10-01 21,1463.007324,7.031854608
2015-10-01 22,1442.872517,20.89492778
2015-10-01 23,1370.066254,28.30337012
2015-10-02 00,1259.548285,25.99628602
2015-10-02 01,1132.428568,44.07929613
2015-10-02 02,1020.483015,31.47493402
2015-10-02 03,952.4260613,17.41845394
2015-10-02 04,911.6783526,16.40194003
2015-10-02 05,907.8386705,9.13938583
2015-10-02 06,938.8856718,11.67942778
2015-10-02 07,991.3798995,13.57073294
2015-10-02 08,1094.534931,28.56128897
2015-10-02 09,1175.459965,18.36267645
2015-10-02 10,1224.862587,17.88091316
2015-10-02 11,1267.908678,16.15393654
2015-10-02 12,1313.946696,15.52179265
2015-10-02 13,1331.684145,9.144753457
2015-10-02 14,1340.871854,8.354408056
2015-10-02 15,1340.699281,10.08917659
2015-10-02 16,1337.312691,7.570335636
2015-10-02 17,1341.901144,11.76707599
2015-10-02 18,1369.763956,10.12071411
2015-10-02 19,1444.551337,44.69902468
2015-10-02 20,1574.524826,16.80680759
2015-10-02 21,1600.673908,6.936298782
2015-10-02 22,1559.591773,25.35072624
2015-10-02 23,1469.318576,24.65037311
2015-10-03 00,1364.33326,38.5719566
2015-10-03 01,1240.634584,37.48036439
2015-10-03 02,1114.750282,33.89140202
2015-10-03 03,1023.041805,18.98321322
2015-10-03 04,980.5414154,9.777294287
2015-10-03 05,975.6162495,5.741679
2015-10-03 06,985.0722371,8.058454073
2015-10-03 07,979.8852523,10.29102066
2015-10-03 08,1037.974331,28.10350652
2015-10-03 09,1147.509782,31.13372807
2015-10-03 10,1233.617512,18.57391545
2015-10-03 11,1272.936454,7.858398253
2015-10-03 12,1293.60317,8.873182839
2015-10-03 13,1292.411633,6.320285817
2015-10-03 14,1271.008453,10.50442449
2015-10-03 15,1240.369496,9.501731189
2015-10-03 16,1235.622433,6.978056749
2015-10-03 17,1230.72469,6.793070276
2015-10-03 18,1256.122105,18.88938675
2015-10-03 19,1320.119325,35.53109345
2015-10-03 20,1502.53413,32.23318938
2015-10-03 21,1533.571411,5.846823282
